MOF_name,split_0
GAQYIH,train
GAYFOD,train
GAYFUJ,test
GAYGAQ,train
GAYGEU,train
GAYGIY,train
GAYGOE,train
GAZKOJ,train
GAZKUP,train
GAZLAW,test
GECXUH03,train
GEFYUN,test
GEFZAU,train
GIKMOD03,train
GIKMOD11,train
GINTAA01,train
GIYSUD,train
GIYTAK,test
GIYTEO,train
GIYTIS,train
GIYTOY,train
GIZNOT,test
GORLIK,train
GUCTAB,test
GUVCIJ,train
GUVCOP,train
GUWDUY,train
HACDOH,train
HACDUN,train
HACRAH,test
HACREL,train
HADDOI,test
HAJQUH,train
HEBGUS,train
HEBHAZ,test
HEBHED,train
HEBHIH,train
HEBHON,train
HEBHUT,train
HEBJAB,train
HEBJEF,train
HEBJIJ,train
HEBJOP,train
HESVOR,train
HIFGIO,train
HIFGOU,test
HIFGUA,train
HIFHAH,train
HIFHIP,train
HIFVUO01,train
HIQKID,test
HIQKOJ,train
HIQPAA,train
HIQPEE,test
HIQPII,train
HIQRAC,train
HISFUM,test
HISGAT,train
HISGEX,test
HISGIB,train
HIWKOO,train
HOHMIB,train
HOMQUW,train
HOMRAD,train
HOMREH,train
HOMRIL,train
HOQMIL04,train
HOWRES,train
HOWRIW,train
HOWROC,train
HOWRUI,train
HOWSET,test
HUCSEF,train
HUFKOK,train
HUFKUQ,test
HUKZIW02,train
HUVHIR,test
HUVHOX,test
HUWHOY,train
HUWHUE,train
HUXHEP,test
HUXHEP01,train
HUXHIT,train
HUXHOZ,train
HUXHUF,train
HUXHUF01,train
HUYFAJ,train
IDIWUN,test
IDIXAU,train
IFESOD,test
IFESUJ,test
IGUFOH,train
IHOTAC,train
IHOTEG,train
ILEPEW,train
ILOTOT,train
IMIDZB10,train
IMUTUG,train
IQECIS,test
IQUNAJ,train
ITIPOS,train
IVEQEG,train
IXIKOR,train
IYATEI,test
IZENEI,train
IZENIM,train
IZENOS,train
IZENUY,train
IZIKEJ,train
JALLEQ,train
JALLIU,train
JALLOA,test
JASMEW,test
JIZJIN,train
JIZWAS,test
JOCPIB,train
JOFZOV,train
JUMZIC,test
JUMZOI,train
JUMZUO01,train
KADLIN,train
KADLOT,train
KADLUZ,train
KAMPOG,train
KASDOA,train
KAVJAT,train
KAVJEX,train
KAXQOR,train
KEBDIG,train
KEBDOM,test
KEQJEX,train
KETHEY01,train
KEWZAP,train
KEWZET,train
KEWZOD,test
KEYMUY,train
KEYNAF,train
KINJOI,train
KINJUO,test
KINKAV,train
KINKEZ,train
KINKID,train
KINKOJ,train
KINKUP,train
KINLAW,train
KIWRUE01,train
KIYHOR,test
KIYHUX,train
KIYJAF,train
KIYJEJ,train
KIYJIN,train
KOBFIR,train
KOMFIC,test
KOMFOI,test
KOMFUO,test
KOMGAV,test
KOMGEZ,train
KOMGID,test
KOMGOJ,train
KUFTAI,test
KUMGIK,train
KUMGOQ,train
KUMGUW,train
KUZYUB,test
LAFFEG,train
LAGCOO,train
LAGCUU,train
LAGDAB,train
LATCAN,test
LAVSUY,train
LAVTAF,train
LAVTEJ,test
LAVTIN,train
LAVTOT,test
LAVTUZ,train
LAZNAD,train
LAZNEH,train
LAZNIL,train
LAZNOR,train
LAZNUX,train
LAZPAF,train
LAZPEJ,train
LAZPIN,train
LAZPOT,test
LAZPUZ,test
LELCUB01,train
LEPKUN01,train
LIHDUC,train
LIQFEY,train
LIQFIC,train
LITHUR,train
LOQLIN,train
LOQSEQ,test
LOQSIU,train
LOQSOA,test
LOQSUG,train
LORRUH,train
LULWUL,train
LURRUM,test
LUVWUU,train
LUVXAB,test
MAKDIO,train
MAKDOU,train
MAKDUA,test
MAKFAI,train
MAKFEM,train
MAKFIQ,test
MAKFOW,train
MAKGAJ,test
MAKGEN,train
MAKGIR,train
MAKGOX,train
MAKGUD,train
MAKHAK,train
MAKHEO,train
MARPOL,test
MAWVEN01,test
MAWWAK01,train
MAYKOO,test
MEKDEM,train
MEKDIQ,test
MEKDOW,train
MERLAZ,train
MIBMER,train
MIFKUJ,test
MIFLIY,test
MIFMIZ,train
MIFPUO,test
MIFQOJ,train
MIMJEX,train
MITRUD,train
MITSAK,train
MITSEO,test
MITSIS,test
MITSOY,train
MITSUE,train
MITTAL,train
MIXYEZ,train
MIXYOJ,train
MIYGUX,train
MOTMAK,train
MOTRUK,test
MOXDEJ,train
MOXDIN,train
MOYNEU,train
MOYNIY,train
MOYNOE,train
MOYNUK,train
MOYPAS,train
MOYPEW,train
MOYPIA,train
MUJRIT,train
MUNLUE,train
MUTMIX,train
MUTNAQ,train
NABMUA01,train
NABNIO,train
NABNOU,train
NABNUA,train
NACYOG,train
NACYUM,test
NACZAT,train
NAGQOC02,train
NAPFOA,train
NEYYOG,train
NIGFIT,train
NIMXIS,train
NIZNAN,train
NIZNIV,train
NIZNOB,train
NIZNUH,train
ODOXAG,train
OHAKEO,train
OHAKIS,test
OHOLIH,train
OHUMEL,train
OHUMIP,train
OLEYAH,train
OLEYEL,train
OLOPUC,train
OLUCAZ,train
OLUGUZ,train
OLUHAG,train
OMEWUZ,train
ONOCOK,train
ONUJUE,train
ONULOA,test
ONUQOE,train
ONUQUK,train
OSAVEK,train
OSAVIO,train
OSAVOU,train
OSAVUA,train
OSAWEL,train
OSIMOT,train
OTAQUW,train
OTARAD,train
OTAREH,train
OTARIL,train
OTAROR,train
OTENEH,test
OTENIL,train
OTENOR,test
OTENUX,train
OTEPAF,train
OTEPEJ,train
OTODOS,train
OVICUS,train
OVIDAZ,train
OVIDED,test
OVIDIH,train
OVIDON,test
OWAVIS,train
OWAVOY,train
OWIKAI,train
OWUHEV,train
OWUHIZ,train
OXOLAP,train
OXOLET,test
OXOLIX,test
OYIXIE,train
PAFXUS,train
PAMHIW,test
PAPXUB,train
PEHQID,train
PEJMOI,train
PEQWAK,train
PETWOC,train
PETWUI,train
PETXAP,train
PEWKOT,train
PEWKUZ,train
PEWLAG,train
PEWLEK,test
PEWLIO,train
PEWLOU,train
PIGXAF,train
POHWIU,train
PORLAL,train
POXHER,train
POZKOF,train
POZKUL,train
PUGGOP,train
PUJJEL,train
PULHOT,train
PUQGUE,test
PUQHAL,train
PURNAT,train
PURNEX,train
PURNIB,train
PURNOH,train
PUWCAL,test
PUWCEP,train
PUWCOZ,train
PUWCUF,train
PUWDEQ,train
QAQHOG,train
QARBOC,train
QARBUI,train
QARCAP,train
QARCET,test
QERZUI,train
QESBAR,train
QIFLIC,test
QIFLOI,train
QIFLUO,test
QIRWAR,train
QITHAC,train
QITHEG,train
QIWGIO,test
QIWGOU,train
QOCBEQ,test
QOKWEU,train
QOKWIY,train
QOSXOM,train
QOSXUS,train
QOSYAZ,train
QOSYED,train
QOSYIH,test
QOXFAK02,train
QUDJIJ,test
QUDJOP,train
QUDJUV,test
RABNOX,train
RARYIT,train
RARYOZ,train
RARYUF,train
ROGRAH,train
ROQDIM04,train
ROQFUA04,test
ROQMER03,train
ROQNES03,train
RORJIT,train
RORJOZ,train
ROSCAD,test
ROSCEH,train
ROSCIL,train
RUBTAK02,train
RUJGIN,train
RUVMAX,test
RUVMEB,train
RUVMIF,train
RUWWOW,train
RUWWOW01,test
RUWWUC,train
RUWXAJ,train
RUWXEN,train
RUWXOX,train
RUYNEG,train
RUYNIK,train
RUYNOQ,test
RUYNUW,test
RUYPAE,train
RUYQIN,train
RUYVEO,train
RUYVIS,train
SADLEQ,test
SADLIU,train
SAJLOH,train
SALXEL,train
SAMYAJ,train
SANGEW,test
SANGIA,train
SANGOG,train
SANGUM,train
SANHAT,test
SANHEX,train
SANHIB,train
SANHOH,train
SANHUN,train
SANJAV,test
SAXLEK,test
SAXLIO,train
SAXLOU,train
SEFNEX,train
SEFNIB,train
SEFNOH,train
SEFNUN,train
SEFPAV,train
SENWAL,test
SENWEP,train
SENWIT,train
SENWOZ,test
SETSIV,test
SIFVAG,train
SIFVEK,train
SIFVOU,train
SOCLIH,train
SONTUL,test
SONVAT,train
SONVEX,train
SONVIB,train
SOQSAU01,train
SOSFEN,test
SOSFIR,test
SOSFOX,test
SOSFUD,train
SOYWOT,train
SOYWUZ,train
SUTBIT,train
SUTJAU,train
SUTJEY,train
SUTJIC,train
SUTJOI,train
TAFTOM,train
TAQGOK,train
TAQGUQ,train
TAQYER,train
TAQYIV,train
TAVQAJ,train
TEBWII,train
TEWFOS,train
TEWFUY,train
TEWFUY01,test
TEYHIP,test
TIDSEE,train
TIFBEP,train
TIFCAM,train
TIFCEQ,train
TIFCIU,train
TIFCOA,train
TIKXAN,train
TILBOH,test
TIRLEM,train
TIRLIQ,train
TISJOW,train
TISJUC,train
TIZYEI,train
TIZYIM,train
TOVGAO,train
TOVGES,train
TOWPEC,train
TUTZOX,train
TUTZUD,test
UBIPAY,train
UCEXAC,train
UCOCUM,test
UDANAQ,train
UDEMEW,train
UFAROJ,test
UFARUP,train
UFASAW,train
UFASEA,train
UGOCAW,train
UGOCEA,train
UGOFED,train
UGOFUT,train
UKIBIB,train
UKUBIM,train
UKUBOS,train
UKUBUY,train
UKUCAF,train
ULASAD,test
ULASEH,test
UNABER,train
UNABIV,train
UNABOB,test
UNINEL,train
UNINIP,test
UNINOV,test
UNINUB,train
UNIPAJ,train
UNIPEN,train
UQEGEE,train
UQEGII,test
UQOWUU,train
USAHAZ,train
UVARIT,test
UVEWIC,train
UVUFUN,train
UXOHOG,train
UZIGOB,train
VAGMAT,train
VAHTUW,train
VASGII,train
VASGOO,train
VASGUU,train
VEHLEA01,train
VEMHIF,train
VEMHOL,test
VEPDEB,train
VEQBID,train
VIDWAI,test
VIDWIQ,test
VOCKUT,test
VOCNOQ,train
VOCQAF,test
VOCQEJ,test
VOFSAM,train
VOFSEQ,train
VOFSIU,train
VOFSOA,train
VOFSUG,train
VOFTAN,train
VOPCEK,train
VOPCIO,train
VOPHUF,train
VOPJAN,train
VOPVIH,train
VOPVON,train
VOPVUT,train
VOPWAA,test
VOPWEE,train
VOPWII,train
VOPWOO,train
VOQJOC,test
WABVOL,train
WABVUR,train
WABWAY,test
WABWEC,train
WAFKEU02,train
WAJHUM,train
WASNIO,train
WASNOU,train
WASNUA,test
WASPAI,train
WAZPOE,train
WEFXEM,train
WEFXIQ,train
WEHPIJ,train
WEHPOP,train
WEHQAC,train
WEHQEG,train
WEHQOQ,train
WEHQOQ01,test
WEHQUW,train
WEHRAD,test
WEHREH,train
WEHRIL,train
WEXSEZ,train
WIKGII,test
WISVEB,train
WITFEM,train
WITFIQ,train
WITFOW,train
WIYFAM,train
WOLREV,train
WOLRIZ,train
WOLYON,train
WOZGUP,train
WUHCUZ,train
WUPTUY,train
WUPVAG,train
WUSGIC,train
WUSGOI,train
WUTBAQ,train
WUTBEU,train
XACFAJ,train
XACFEN,test
XALBUI,train
XALDAS,train
XALXUF01,test
XANMUX,train
XANZAQ,train
XAPFUS,train
XAPGAZ,train
XAPGED,train
XAPGIH,train
XAVQIU01,train
XEGJIE02,train
XEJJEC,train
XEJJIG,train
XEJJOM,train
XICXAK,train
XICXEO,train
XICXIS,test
XICXOY,test
XICXUE,train
XICYAL,train
XOFTES,train
XOFTIW,train
XOFTOC,train
XUMFIW,train
XUMFOC,train
XUNJEW,train
YACWAC,train
YAHPED,train
YAHPON,train
YATDUV,train
YEGCEU,train
YEGCIY,train
YEGCOE,train
YEGCUK,train
YEGDAR,train
YEGSUZ,train
YEGTAG,test
YEGTEK,train
YEMGED,train
YEZKIZ,test
YIKGEF01,train
YIZJEY,test
YOYNOR,test
YOYNUX,train
YOYPAF,train
YOYPEJ,train
YOYPIN,train
YOYPOT,train
YOYPUZ,train
YOYQAG,train
YOYQEK,test
YOYQIO,test
YOYQOU,train
YOYZUJ,train
YOZROW,train
YUKBIR,train
YUKBOX,train
YUKBUD,train
YUKCAK,train
YUKMOI,train
YUKMUO,train
YUQMOO,train
YUQMUU,train
YUQNAB,train
YUQQEI,test
ZASJAG,train
ZEVWII,train
ZEVWOO,train
ZODXAT,test
ZODXEX,train
ZODXIB,test
ZOZHIH,train
ZOZHON,train
ZOZHUT,train
ZOZJAB,train
ZOZJEF,train
ZOZJIJ,train
ZOZJOP,test
ZULNAX,train
ZZZRNQ02,train
ZZZSDW03,test
Al_OH_1-4-NDC,test
AlaZnCl,train
AlaZnOAc,train
Bio-MOF-11,train
Bio-MOF-12,train
Bio-MOF-13,train
Bio-MOF-14,train
CALF-25-a,train
CAU-10,train
CAU-10-CH3,train
CAU-10-H,train
CAU-10-NH2,train
CAU-10-NO2,train
CAU-10-OCH3,test
CAU-10-OH,train
CAU-6,train
CUK-1,train
Cd2_L2_2_Br_2_H2O_3,train
CdZrSr,train
Cd_2-6-NDC_0_5_PCA,train
Cd_L1_Cl_H2O,train
Cd_L2_Cl_H2O,train
Cd_L3_Cl_H2O_2,train
Co-DMOF,train
Co-DOBDC,train
Co-NIC,test
Co_L13_2,train
Cu-DMOF,train
Cu-EBTC,test
Cu-HF,train
Cu-MBTC,test
Cu2_TCMBT_BPP_mu3-OH,train
Eu-Cu,test
FMOF-1,train
HKUST-1,train
IRMOF-1-37,test
IRMOF-1-38,train
IRMOF-1-39,test
IRMOF-1-40,train
IRMOF-3-42,train
JUC-110,train
La-Cu,train
LaBTB,train
MOF-14-option2,test
MOF-177,train
MOF-505,train
MOF-545,test
MOF-69C,train
MOF-801-P,train
MOF-801-SC,train
MOF-802,test
MOF-804,train
MOF-805,test
MOF-806,test
MOF-841,train
MOFF-1,test
MOFF-2,train
MONT1,train
MOOFOUR-1-Ni,train
Mg-MOF-74,train
NOTT-300,train
NU-1000,train
NU-1000-SALI-9,train
Ni-DMOF,test
Ni-HF,train
Ni-MOF-74,train
Ni-NIC,train
Ni2_C2O4_L16_2,train
Ni3_BTP_2,train
Ni8_OH_4_H2O_2_L10-CF3_2_6,train
Ni8_OH_4_H2O_2_L10-CH3_2_6,train
Ni8_OH_4_H2O_2_L10_6,train
Ni8_OH_4_H2O_2_L6_6,test
Ni8_OH_4_H2O_2_L7_6,train
Ni8_OH_4_H2O_2_L8_6,train
Ni_HPTZ_2,train
Ni_L13_2,train
PCMOF-5,train
PCN-222_Fe,train
PCN-224_Ni,train
PCN-225,train
PCN-56,test
PCN-57,train
PCN-58,train
Pb2_PTPTP_2_H2O_2,train
Pb2_p-PDA_PTPTP_2,train
Pb4_o-PDA_2_PTPTP_2,train
RO-MOFa,train
SCUTC-18,train
SCUTC-19,test
SIFSIX-2-Cu-i,train
SIFSIX-3-Zn,train
SNU-80,train
UMCM-1,train
UMCM-150,train
UTSA-16,train
"UiO-1,4-NDC",train
"UiO-2,6-NDC",test
UiO-66,train
UiO-66-Br,train
UiO-66-Br2,train
UiO-66-CF3,train
UiO-66-CO2H,train
UiO-66-CO2H_2,train
UiO-66-Cl2,train
UiO-66-DM,test
UiO-66-F,train
UiO-66-F2,train
UiO-66-I,train
UiO-66-MM,train
UiO-66-NH2,test
UiO-66-NO2,train
UiO-66-OMe_2,test
UiO-66-SO3H,train
UiO-67,train
UiO-BPY,train
ValZnCl,train
ValZnFor,test
ZIF-11,train
ZIF-7,train
ZIF-8,train
ZIF-90,train
Zn-DMOF-A,train
Zn-DMOF-Br,train
Zn-DMOF-Cl2,train
Zn-DMOF-DM,train
Zn-DMOF-DM0_5,train
Zn-DMOF-MM,train
Zn-DMOF-MM0_5,train
Zn-DMOF-NH2,train
Zn-DMOF-NO2,test
Zn-DMOF-OH,train
Zn-DMOF-TF,test
Zn-DMOF-TM,test
Zn-DMOF-TM0_5,train
Zn-DMOF-option2,train
Zn-DMOF_NO2_2,train
Zn-MOF-508,train
Zn-MOF-508-72,train
Zn-MOF-508-TM,train
Zn-MOF-74,train
Zn-NDC,train
Zn-TTC,train
Zn-slash-Co-BTEC,train
Zn2L4,test
Zn2_2-6-NDC_2_2-2-dimethyl-BPY,test
Zn3_BPDC_3_2-2-dimethyl-BPY,train
Zn3_BTP_2,train
Zn6_IDC_4_OH_2_HPRZ_2,train
ZnPO3,train
Zn_1-3-BDP,test
Zr-DMBDC,train
Zr6O6_ABDC-Cl2_12,train
Zr6O6_ABDC_12,train
dut-51-hf,test
dut-51-zr,train
dut-67-hf,train
dut-67-zr,train
dut-68-hf,train
dut-68-zr,train
dut-69-zr,train
mil-100-al,train
mil-100-cr,train
mil-100-fe,test
mil-101-cr-a,test
mil-101-nh2,train
mil-101-no2,train
mil-101-so3h,train
mil-110-al,train
mil-125-nh2,test
mil-125-ti,train
mil-140a,train
mil-140b,train
mil-140c,test
mil-140d,train
mil-47,test
mil-47-f,train
mil-53-al,test
mil-53-cr,train
mil-53-f-al,train
mil-96,test
